date=30/05/09 12
height(m)   thl(K)     qt(kg/kg)       u(m/s)     v(m/s)     tke(m2/s2)
      2387.50      293.792      1.286E-03      -11.095      -2.3022      0.0000
      2412.50      293.959      1.230E-03      -11.043      -2.3863      0.0000
      2437.50      294.127      1.177E-03      -10.990      -2.4705      0.0000
      2462.50      294.297      1.125E-03      -10.938      -2.5548      0.0000
      2487.50      294.469      1.076E-03      -10.886      -2.6391      0.0000
      2512.50      294.643      1.029E-03      -10.834      -2.7233      0.0000
      2537.50      294.818      9.833E-04      -10.782      -2.8073      0.0000
      2562.50      294.995      9.399E-04      -10.731      -2.8912      0.0000
      2587.50      295.174      8.984E-04      -10.681      -2.9749      0.0000
      2612.50      295.353      8.588E-04      -10.631      -3.0582      0.0000
      2637.50      295.534      8.209E-04      -10.582      -3.1412      0.0000
      2662.50      295.717      7.848E-04      -10.534      -3.2237      0.0000
      2687.50      295.900      7.504E-04      -10.487      -3.3058      0.0000
      2712.50      296.084      7.176E-04      -10.442      -3.3874      0.0000
      2737.50      296.269      6.865E-04      -10.398      -3.4684      0.0000
      2762.50      296.455      6.568E-04      -10.355      -3.5487      0.0000
      2787.50      296.641      6.287E-04      -10.314      -3.6283      0.0000
      2812.50      296.827      6.020E-04      -10.274      -3.7072      0.0000
      2837.50      297.015      5.767E-04      -10.236      -3.7852      0.0000
      2862.50      297.202      5.526E-04      -10.201      -3.8624      0.0000
      2887.50      297.389      5.299E-04      -10.167      -3.9387      0.0000
      2912.50      297.577      5.084E-04      -10.135      -4.0139      0.0000
      2937.50      297.765      4.881E-04      -10.106      -4.0882      0.0000
      2962.50      297.952      4.689E-04      -10.079      -4.1613      0.0000
      2987.50      298.139      4.507E-04      -10.055      -4.2332      0.0000
      3012.50      298.326      4.336E-04      -10.034      -4.3040      0.0000
      3037.50      298.512      4.175E-04      -10.015      -4.3735      0.0000
      3062.50      298.698      4.024E-04      -9.9994      -4.4416      0.0000
      3087.50      298.882      3.882E-04      -9.9865      -4.5084      0.0000
      3112.50      299.066      3.748E-04      -9.9767      -4.5737      0.0000
      3137.50      299.249      3.623E-04      -9.9702      -4.6375      0.0000
      3162.50      299.431      3.505E-04      -9.9671      -4.6997      0.0000
      3187.50      299.612      3.396E-04      -9.9673      -4.7604      0.0000
      3212.50      299.792      3.293E-04      -9.9708      -4.8196      0.0000
      3237.50      299.971      3.197E-04      -9.9777      -4.8771      0.0000
      3262.50      300.149      3.107E-04      -9.9878      -4.9332      0.0000
      3287.50      300.325      3.023E-04      -10.001      -4.9876      0.0000
      3312.50      300.501      2.944E-04      -10.017      -5.0406      0.0000
      3337.50      300.675      2.870E-04      -10.037      -5.0920      0.0000
      3362.50      300.848      2.801E-04      -10.059      -5.1419      0.0000
      3387.50      301.020      2.737E-04      -10.085      -5.1902      0.0000
      3412.50      301.191      2.676E-04      -10.114      -5.2371      0.0000
      3437.50      301.361      2.620E-04      -10.146      -5.2824      0.0000
      3462.50      301.530      2.568E-04      -10.180      -5.3262      0.0000
      3487.50      301.698      2.519E-04      -10.218      -5.3685      0.0000
      3512.50      301.864      2.473E-04      -10.258      -5.4094      0.0000
      3537.50      302.030      2.431E-04      -10.302      -5.4487      0.0000
      3562.50      302.194      2.391E-04      -10.348      -5.4865      0.0000
      3587.50      302.358      2.355E-04      -10.396      -5.5229      0.0000
      3612.50      302.520      2.321E-04      -10.448      -5.5578      0.0000
      3637.50      302.681      2.289E-04      -10.502      -5.5912      0.0000
      3662.50      302.841      2.261E-04      -10.559      -5.6231      0.0000
      3687.50      303.000      2.234E-04      -10.618      -5.6536      0.0000
