date=12/05/08 12
height(m)   thl(K)     qt(kg/kg)       u(m/s)     v(m/s)     tke(m2/s2)
      2387.50      297.328      1.390E-03      -4.4247      0.1917      0.0000
      2412.50      297.442      1.330E-03      -4.3660      0.1687      0.0000
      2437.50      297.556      1.272E-03      -4.3072      0.1453      0.0000
      2462.50      297.672      1.215E-03      -4.2484      0.1216      0.0000
      2487.50      297.790      1.162E-03      -4.1898      0.0975      0.0000
      2512.50      297.909      1.110E-03      -4.1313      0.0731      0.0000
      2537.50      298.028      1.061E-03      -4.0730      0.0484      0.0000
      2562.50      298.149      1.014E-03      -4.0151      0.0234      0.0000
      2587.50      298.271      9.685E-04      -3.9574      -0.0018      0.0000
      2612.50      298.394      9.254E-04      -3.9002      -0.0272      0.0000
      2637.50      298.518      8.843E-04      -3.8434      -0.0528      0.0000
      2662.50      298.642      8.452E-04      -3.7872      -0.0785      0.0000
      2687.50      298.767      8.079E-04      -3.7316      -0.1044      0.0000
      2712.50      298.892      7.723E-04      -3.6766      -0.1303      0.0000
      2737.50      299.018      7.386E-04      -3.6223      -0.1563      0.0000
      2762.50      299.145      7.065E-04      -3.5688      -0.1823      0.0000
      2787.50      299.271      6.761E-04      -3.5161      -0.2084      0.0000
      2812.50      299.398      6.472E-04      -3.4643      -0.2344      0.0000
      2837.50      299.525      6.198E-04      -3.4135      -0.2603      0.0000
      2862.50      299.652      5.939E-04      -3.3637      -0.2861      0.0000
      2887.50      299.778      5.694E-04      -3.3150      -0.3119      0.0000
      2912.50      299.905      5.462E-04      -3.2674      -0.3375      0.0000
      2937.50      300.031      5.243E-04      -3.2210      -0.3629      0.0000
      2962.50      300.157      5.037E-04      -3.1759      -0.3881      0.0000
      2987.50      300.282      4.842E-04      -3.1321      -0.4131      0.0000
      3012.50      300.407      4.658E-04      -3.0897      -0.4378      0.0000
      3037.50      300.531      4.486E-04      -3.0487      -0.4622      0.0000
      3062.50      300.654      4.323E-04      -3.0092      -0.4864      0.0000
      3087.50      300.776      4.171E-04      -2.9713      -0.5101      0.0000
      3112.50      300.898      4.028E-04      -2.9350      -0.5335      0.0000
      3137.50      301.018      3.894E-04      -2.9004      -0.5565      0.0000
      3162.50      301.138      3.768E-04      -2.8674      -0.5792      0.0000
      3187.50      301.256      3.651E-04      -2.8359      -0.6014      0.0000
      3212.50      301.374      3.540E-04      -2.8061      -0.6232      0.0000
      3237.50      301.490      3.437E-04      -2.7777      -0.6447      0.0000
      3262.50      301.606      3.339E-04      -2.7509      -0.6658      0.0000
      3287.50      301.720      3.248E-04      -2.7255      -0.6865      0.0000
      3312.50      301.834      3.163E-04      -2.7015      -0.7068      0.0000
      3337.50      301.947      3.082E-04      -2.6790      -0.7267      0.0000
      3362.50      302.058      3.007E-04      -2.6579      -0.7463      0.0000
      3387.50      302.169      2.936E-04      -2.6381      -0.7655      0.0000
      3412.50      302.279      2.870E-04      -2.6196      -0.7843      0.0000
      3437.50      302.388      2.808E-04      -2.6025      -0.8027      0.0000
      3462.50      302.495      2.749E-04      -2.5866      -0.8207      0.0000
      3487.50      302.602      2.695E-04      -2.5720      -0.8384      0.0000
      3512.50      302.709      2.644E-04      -2.5586      -0.8557      0.0000
      3537.50      302.814      2.596E-04      -2.5463      -0.8726      0.0000
      3562.50      302.918      2.551E-04      -2.5353      -0.8891      0.0000
      3587.50      303.021      2.509E-04      -2.5253      -0.9053      0.0000
      3612.50      303.124      2.470E-04      -2.5165      -0.9211      0.0000
      3637.50      303.225      2.433E-04      -2.5087      -0.9365      0.0000
      3662.50      303.326      2.399E-04      -2.5020      -0.9516      0.0000
      3687.50      303.426      2.367E-04      -2.4963      -0.9663      0.0000
      3712.50      303.525      2.338E-04      -2.4916      -0.9806      0.0000
      3737.50      303.623      2.311E-04      -2.4879      -0.9946      0.0000
      3762.50      303.720      2.285E-04      -2.4850      -1.0082      0.0000
      3787.50      303.816      2.262E-04      -2.4831      -1.0214      0.0000
      3812.50      303.912      2.241E-04      -2.4821      -1.0343      0.0000
      3837.50      304.007      2.221E-04      -2.4819      -1.0468      0.0000
      3862.50      304.101      2.203E-04      -2.4825      -1.0590      0.0000
      3887.50      304.194      2.186E-04      -2.4840      -1.0707      0.0000
      3912.50      304.286      2.171E-04      -2.4861      -1.0822      0.0000
      3937.50      304.377      2.158E-04      -2.4891      -1.0932      0.0000
      3962.50      304.468      2.146E-04      -2.4927      -1.1039      0.0000
      3987.50      304.558      2.135E-04      -2.4970      -1.1143      0.0000
      4012.50      304.647      2.126E-04      -2.5019      -1.1243      0.0000
      4037.50      304.735      2.118E-04      -2.5075      -1.1339      0.0000
      4062.50      304.822      2.111E-04      -2.5137      -1.1432      0.0000
      4087.50      304.909      2.105E-04      -2.5204      -1.1522      0.0000
      4112.50      304.995      2.100E-04      -2.5277      -1.1607      0.0000
      4137.50      305.080      2.096E-04      -2.5355      -1.1690      0.0000
      4162.50      305.165      2.093E-04      -2.5437      -1.1769      0.0000
      4187.50      305.248      2.091E-04      -2.5524      -1.1844      0.0000
      4212.50      305.331      2.090E-04      -2.5615      -1.1916      0.0000
      4237.50      305.413      2.090E-04      -2.5711      -1.1984      0.0000
      4262.50      305.495      2.091E-04      -2.5809      -1.2049      0.0000
      4287.50      305.576      2.093E-04      -2.5912      -1.2110      0.0000
      4312.50      305.656      2.095E-04      -2.6017      -1.2168      0.0000
      4337.50      305.735      2.098E-04      -2.6125      -1.2223      0.0000
      4362.50      305.814      2.102E-04      -2.6236      -1.2274      0.0000
      4387.50      305.892      2.106E-04      -2.6349      -1.2322      0.0000
      4412.50      305.969      2.111E-04      -2.6463      -1.2366      0.0000
      4437.50      306.046      2.116E-04      -2.6580      -1.2407      0.0000
      4462.50      306.122      2.122E-04      -2.6698      -1.2444      0.0000
      4487.50      306.197      2.129E-04      -2.6817      -1.2478      0.0000
      4512.50      306.272      2.136E-04      -2.6937      -1.2509      0.0000
