#ASTEX case using prescribed vertical grid, Nlev = 427 1 date06/01/09 12
height(m)   thl(K)     qt(kg/kg)       u(m/s)     v(m/s)     tke(m2/s2)
      2462.50      282.221      1.821E-06      7.4558      4.9826      0.0000
      2487.50      282.490      1.827E-06      7.4805      5.0226      0.0000
      2512.50      282.760      1.834E-06      7.5064      5.0624      0.0000
      2537.50      283.028      1.840E-06      7.5335      5.1021      0.0000
      2562.50      283.297      1.847E-06      7.5618      5.1416      0.0000
      2587.50      283.564      1.853E-06      7.5913      5.1809      0.0000
      2612.50      283.831      1.859E-06      7.6221      5.2201      0.0000
      2637.50      284.096      1.865E-06      7.6542      5.2591      0.0000
      2662.50      284.360      1.871E-06      7.6875      5.2978      0.0000
      2687.50      284.623      1.876E-06      7.7222      5.3364      0.0000
      2712.50      284.884      1.882E-06      7.7582      5.3746      0.0000
      2737.50      285.143      1.887E-06      7.7955      5.4127      0.0000
      2762.50      285.399      1.891E-06      7.8343      5.4504      0.0000
      2787.50      285.653      1.895E-06      7.8744      5.4878      0.0000
      2812.50      285.905      1.899E-06      7.9160      5.5249      0.0000
      2837.50      286.154      1.903E-06      7.9590      5.5617      0.0000
      2862.50      286.399      1.906E-06      8.0035      5.5980      0.0000
      2887.50      286.642      1.908E-06      8.0495      5.6340      0.0000
      2912.50      286.881      1.910E-06      8.0970      5.6695      0.0000
      2937.50      287.116      1.912E-06      8.1460      5.7046      0.0000
      2962.50      287.347      1.912E-06      8.1967      5.7392      0.0000
      2987.50      287.574      1.913E-06      8.2488      5.7733      0.0000
      3012.50      287.797      1.912E-06      8.3026      5.8069      0.0000
      3037.50      288.017      1.911E-06      8.3578      5.8399      0.0000
      3062.50      288.232      1.910E-06      8.4144      5.8724      0.0000
      3087.50      288.443      1.908E-06      8.4725      5.9044      0.0000
      3112.50      288.650      1.905E-06      8.5318      5.9358      0.0000
      3137.50      288.853      1.902E-06      8.5925      5.9666      0.0000
      3162.50      289.053      1.898E-06      8.6544      5.9969      0.0000
      3187.50      289.248      1.893E-06      8.7174      6.0267      0.0000
      3212.50      289.440      1.889E-06      8.7816      6.0558      0.0000
      3237.50      289.628      1.883E-06      8.8469      6.0844      0.0000
      3262.50      289.813      1.877E-06      8.9132      6.1124      0.0000
      3287.50      289.994      1.871E-06      8.9804      6.1398      0.0000
      3312.50      290.171      1.864E-06      9.0485      6.1667      0.0000
      3337.50      290.345      1.856E-06      9.1175      6.1930      0.0000
      3362.50      290.515      1.849E-06      9.1873      6.2187      0.0000
      3387.50      290.682      1.840E-06      9.2578      6.2438      0.0000
      3412.50      290.845      1.831E-06      9.3289      6.2683      0.0000
      3437.50      291.006      1.822E-06      9.4007      6.2923      0.0000
      3462.50      291.162      1.813E-06      9.4730      6.3158      0.0000
      3487.50      291.316      1.803E-06      9.5458      6.3386      0.0000
      3512.50      291.466      1.792E-06      9.6190      6.3610      0.0000
      3537.50      291.613      1.781E-06      9.6925      6.3828      0.0000
      3562.50      291.757      1.770E-06      9.7664      6.4041      0.0000
      3587.50      291.898      1.759E-06      9.8404      6.4249      0.0000
      3612.50      292.036      1.747E-06      9.9147      6.4453      0.0000
      3637.50      292.171      1.735E-06      9.9890      6.4652      0.0000
      3662.50      292.303      1.722E-06      10.0634      6.4846      0.0000
      3687.50      292.432      1.710E-06      10.1377      6.5036      0.0000
      3712.50      292.558      1.696E-06      10.2119      6.5222      0.0000
      3737.50      292.681      1.683E-06      10.2860      6.5405      0.0000
      3762.50      292.802      1.670E-06      10.3598      6.5584      0.0000
      3787.50      292.920      1.656E-06      10.4333      6.5760      0.0000
      3812.50      293.035      1.642E-06      10.5064      6.5933      0.0000
      3837.50      293.148      1.627E-06      10.5790      6.6103      0.0000
      3862.50      293.258      1.613E-06      10.6512      6.6271      0.0000
      3887.50      293.365      1.598E-06      10.7227      6.6437      0.0000
      3912.50      293.470      1.583E-06      10.7936      6.6602      0.0000
      3937.50      293.573      1.568E-06      10.8637      6.6766      0.0000
      3962.50      293.673      1.553E-06      10.9330      6.6929      0.0000
      3987.50      293.771      1.538E-06      11.0015      6.7091      0.0000
      4012.50      293.866      1.523E-06      11.0690      6.7253      0.0000
      4037.50      293.960      1.507E-06      11.1355      6.7416      0.0000
      4062.50      294.051      1.491E-06      11.2008      6.7580      0.0000
      4087.50      294.140      1.476E-06      11.2650      6.7746      0.0000
      4112.50      294.227      1.460E-06      11.3280      6.7913      0.0000
      4137.50      294.312      1.444E-06      11.3896      6.8082      0.0000
      4162.50      294.395      1.428E-06      11.4498      6.8254      0.0000
      4187.50      294.476      1.412E-06      11.5086      6.8430      0.0000
      4212.50      294.555      1.396E-06      11.5658      6.8609      0.0000
      4237.50      294.633      1.380E-06      11.6214      6.8792      0.0000
      4262.50      294.708      1.364E-06      11.6753      6.8980      0.0000
      4287.50      294.782      1.347E-06      11.7274      6.9174      0.0000
      4312.50      294.854      1.331E-06      11.7776      6.9373      0.0000
      4337.50      294.925      1.315E-06      11.8260      6.9578      0.0000
      4362.50      294.994      1.299E-06      11.8723      6.9790      0.0000
      4387.50      295.061      1.283E-06      11.9165      7.0010      0.0000
      4412.50      295.127      1.267E-06      11.9586      7.0237      0.0000
      4437.50      295.192      1.251E-06      11.9984      7.0473      0.0000
      4462.50      295.255      1.235E-06      12.0359      7.0717      0.0000
      4487.50      295.317      1.219E-06      12.0711      7.0971      0.0000
      4512.50      295.378      1.203E-06      12.1037      7.1234      0.0000
      4537.50      295.437      1.188E-06      12.1338      7.1507      0.0000
      4562.50      295.496      1.172E-06      12.1612      7.1791      0.0000
      4587.50      295.553      1.156E-06      12.1859      7.2086      0.0000
      4612.50      295.609      1.141E-06      12.2078      7.2393      0.0000
      4637.50      295.665      1.126E-06      12.2268      7.2711      0.0000
      4662.50      295.719      1.110E-06      12.2428      7.3042      0.0000
      4687.50      295.773      1.095E-06      12.2558      7.3385      0.0000
      4712.50      295.825      1.080E-06      12.2657      7.3741      0.0000
      4737.50      295.877      1.065E-06      12.2723      7.4110      0.0000
      4762.50      295.928      1.050E-06      12.2756      7.4493      0.0000
      4787.50      295.979      1.036E-06      12.2755      7.4889      0.0000
      4812.50      296.029      1.021E-06      12.2719      7.5300      0.0000
      4837.50      296.078      1.007E-06      12.2647      7.5724      0.0000
      4862.50      296.128      9.923E-07      12.2539      7.6163      0.0000
      4887.50      296.176      9.782E-07      12.2393      7.6615      0.0000
      4912.50      296.224      9.642E-07      12.2209      7.7083      0.0000
      4937.50      296.272      9.503E-07      12.1986      7.7564      0.0000
      4962.50      296.320      9.366E-07      12.1722      7.8060      0.0000
      4987.50      296.368      9.231E-07      12.1417      7.8570      0.0000
