date=03/04/09 12
height(m)   thl(K)     qt(kg/kg)       u(m/s)     v(m/s)     tke(m2/s2)
      2212.50      296.539      3.079E-03      1.6964      -6.6876      0.0000
      2237.50      296.660      3.001E-03      1.7833      -6.5736      0.0000
      2262.50      296.783      2.924E-03      1.8674      -6.4568      0.0000
      2287.50      296.908      2.848E-03      1.9484      -6.3374      0.0000
      2312.50      297.034      2.772E-03      2.0262      -6.2157      0.0000
      2337.50      297.163      2.698E-03      2.1006      -6.0921      0.0000
      2362.50      297.293      2.624E-03      2.1715      -5.9667      0.0000
      2387.50      297.424      2.551E-03      2.2387      -5.8399      0.0000
      2412.50      297.557      2.480E-03      2.3022      -5.7120      0.0000
      2437.50      297.691      2.409E-03      2.3619      -5.5832      0.0000
      2462.50      297.827      2.340E-03      2.4178      -5.4539      0.0000
      2487.50      297.964      2.271E-03      2.4698      -5.3244      0.0000
      2512.50      298.101      2.204E-03      2.5179      -5.1949      0.0000
      2537.50      298.240      2.138E-03      2.5622      -5.0657      0.0000
      2562.50      298.379      2.074E-03      2.6027      -4.9372      0.0000
      2587.50      298.520      2.010E-03      2.6394      -4.8096      0.0000
      2612.50      298.661      1.948E-03      2.6724      -4.6832      0.0000
      2637.50      298.802      1.888E-03      2.7019      -4.5582      0.0000
      2662.50      298.944      1.828E-03      2.7279      -4.4350      0.0000
      2687.50      299.086      1.770E-03      2.7505      -4.3137      0.0000
      2712.50      299.228      1.714E-03      2.7701      -4.1947      0.0000
      2737.50      299.371      1.658E-03      2.7866      -4.0780      0.0000
      2762.50      299.513      1.604E-03      2.8004      -3.9641      0.0000
      2787.50      299.656      1.552E-03      2.8115      -3.8531      0.0000
      2812.50      299.798      1.500E-03      2.8202      -3.7451      0.0000
      2837.50      299.940      1.450E-03      2.8268      -3.6404      0.0000
      2862.50      300.082      1.402E-03      2.8314      -3.5391      0.0000
      2887.50      300.223      1.355E-03      2.8344      -3.4415      0.0000
      2912.50      300.363      1.309E-03      2.8359      -3.3476      0.0000
      2937.50      300.503      1.264E-03      2.8362      -3.2577      0.0000
      2962.50      300.642      1.221E-03      2.8356      -3.1718      0.0000
      2987.50      300.780      1.179E-03      2.8343      -3.0901      0.0000
      3012.50      300.917      1.138E-03      2.8327      -3.0127      0.0000
      3037.50      301.053      1.098E-03      2.8309      -2.9397      0.0000
      3062.50      301.187      1.060E-03      2.8293      -2.8711      0.0000
      3087.50      301.320      1.023E-03      2.8281      -2.8072      0.0000
      3112.50      301.452      9.872E-04      2.8275      -2.7479      0.0000
      3137.50      301.583      9.525E-04      2.8278      -2.6930      0.0000
      3162.50      301.712      9.189E-04      2.8289      -2.6425      0.0000
      3187.50      301.839      8.864E-04      2.8312      -2.5962      0.0000
      3212.50      301.965      8.549E-04      2.8347      -2.5539      0.0000
      3237.50      302.090      8.245E-04      2.8394      -2.5156      0.0000
      3262.50      302.213      7.951E-04      2.8455      -2.4811      0.0000
      3287.50      302.335      7.667E-04      2.8531      -2.4503      0.0000
      3312.50      302.456      7.393E-04      2.8622      -2.4231      0.0000
      3337.50      302.575      7.127E-04      2.8729      -2.3995      0.0000
      3362.50      302.693      6.871E-04      2.8852      -2.3792      0.0000
      3387.50      302.810      6.624E-04      2.8992      -2.3623      0.0000
      3412.50      302.925      6.385E-04      2.9149      -2.3486      0.0000
      3437.50      303.040      6.154E-04      2.9323      -2.3380      0.0000
      3462.50      303.152      5.931E-04      2.9514      -2.3305      0.0000
      3487.50      303.264      5.717E-04      2.9722      -2.3260      0.0000
      3512.50      303.374      5.509E-04      2.9948      -2.3244      0.0000
      3537.50      303.483      5.309E-04      3.0191      -2.3257      0.0000
      3562.50      303.591      5.116E-04      3.0451      -2.3299      0.0000
      3587.50      303.697      4.930E-04      3.0729      -2.3367      0.0000
      3612.50      303.803      4.751E-04      3.1023      -2.3463      0.0000
      3637.50      303.907      4.578E-04      3.1333      -2.3586      0.0000
      3662.50      304.010      4.411E-04      3.1659      -2.3735      0.0000
      3687.50      304.111      4.251E-04      3.2002      -2.3910      0.0000
      3712.50      304.212      4.096E-04      3.2360      -2.4110      0.0000
      3737.50      304.311      3.947E-04      3.2732      -2.4336      0.0000
      3762.50      304.410      3.803E-04      3.3120      -2.4586      0.0000
      3787.50      304.507      3.664E-04      3.3521      -2.4861      0.0000
      3812.50      304.603      3.531E-04      3.3936      -2.5161      0.0000
      3837.50      304.697      3.403E-04      3.4363      -2.5484      0.0000
      3862.50      304.791      3.279E-04      3.4803      -2.5832      0.0000
      3887.50      304.884      3.160E-04      3.5255      -2.6204      0.0000
      3912.50      304.975      3.046E-04      3.5718      -2.6599      0.0000
      3937.50      305.066      2.936E-04      3.6191      -2.7017      0.0000
      3962.50      305.155      2.830E-04      3.6675      -2.7459      0.0000
      3987.50      305.244      2.727E-04      3.7167      -2.7924      0.0000
      4012.50      305.331      2.629E-04      3.7668      -2.8412      0.0000
      4037.50      305.417      2.535E-04      3.8177      -2.8922      0.0000
      4062.50      305.503      2.444E-04      3.8692      -2.9455      0.0000
      4087.50      305.587      2.357E-04      3.9215      -3.0011      0.0000
      4112.50      305.670      2.272E-04      3.9742      -3.0588      0.0000
      4137.50      305.752      2.192E-04      4.0275      -3.1188      0.0000
      4162.50      305.834      2.114E-04      4.0812      -3.1810      0.0000
      4187.50      305.914      2.039E-04      4.1353      -3.2453      0.0000
      4212.50      305.994      1.967E-04      4.1896      -3.3118      0.0000
      4237.50      306.072      1.898E-04      4.2442      -3.3804      0.0000
      4262.50      306.150      1.832E-04      4.2988      -3.4511      0.0000
      4287.50      306.226      1.768E-04      4.3536      -3.5239      0.0000
      4312.50      306.302      1.707E-04      4.4083      -3.5987      0.0000
      4337.50      306.377      1.648E-04      4.4629      -3.6755      0.0000
      4362.50      306.451      1.591E-04      4.5174      -3.7543      0.0000
      4387.50      306.524      1.537E-04      4.5717      -3.8350      0.0000
      4412.50      306.597      1.484E-04      4.6257      -3.9177      0.0000
      4437.50      306.668      1.434E-04      4.6793      -4.0022      0.0000
      4462.50      306.739      1.386E-04      4.7326      -4.0885      0.0000
      4487.50      306.809      1.339E-04      4.7853      -4.1766      0.0000
      4512.50      306.878      1.295E-04      4.8376      -4.2664      0.0000
      4537.50      306.947      1.252E-04      4.8892      -4.3579      0.0000
      4562.50      307.014      1.211E-04      4.9402      -4.4510      0.0000
      4587.50      307.081      1.172E-04      4.9905      -4.5457      0.0000
      4612.50      307.147      1.134E-04      5.0401      -4.6419      0.0000
      4637.50      307.212      1.097E-04      5.0889      -4.7396      0.0000
      4662.50      307.277      1.062E-04      5.1368      -4.8386      0.0000
      4687.50      307.341      1.029E-04      5.1839      -4.9390      0.0000
      4712.50      307.404      9.964E-05      5.2300      -5.0406      0.0000
      4737.50      307.467      9.655E-05      5.2752      -5.1435      0.0000
      4762.50      307.529      9.358E-05      5.3194      -5.2474      0.0000
      4787.50      307.590      9.073E-05      5.3626      -5.3523      0.0000
      4812.50      307.651      8.799E-05      5.4047      -5.4583      0.0000
      4837.50      307.711      8.536E-05      5.4458      -5.5650      0.0000
      4862.50      307.771      8.283E-05      5.4858      -5.6726      0.0000
      4887.50      307.830      8.041E-05      5.5247      -5.7809      0.0000
      4912.50      307.888      7.809E-05      5.5625      -5.8898      0.0000
      4937.50      307.946      7.586E-05      5.5992      -5.9993      0.0000
