#ASTEX case using prescribed vertical grid, Nlev = 427
 height(m)    thl(K)    qt(kg/kg)        u(m/s)       v(m/s)            tke(m2/s2)
      892.500      294.580   0.00859600     -2.00000     -10.0000      0.00000
      897.500      294.610   0.00858200     -2.00000     -10.0000      0.00000
      902.500      294.640   0.00856800     -2.00000     -10.0000      0.00000
      907.500      294.670   0.00855400     -2.00000     -10.0000      0.00000
      912.500      294.700   0.00854000     -2.00000     -10.0000      0.00000
      917.500      294.730   0.00852600     -2.00000     -10.0000      0.00000
      922.500      294.760   0.00851200     -2.00000     -10.0000      0.00000
      927.500      294.790   0.00849800     -2.00000     -10.0000      0.00000
      932.500      294.820   0.00848400     -2.00000     -10.0000      0.00000
      937.500      294.850   0.00847000     -2.00000     -10.0000      0.00000
      942.500      294.880   0.00845600     -2.00000     -10.0000      0.00000
      947.500      294.910   0.00844200     -2.00000     -10.0000      0.00000
      952.500      294.940   0.00842800     -2.00000     -10.0000      0.00000
      957.500      294.970   0.00841400     -2.00000     -10.0000      0.00000
      962.500      295.000   0.00840000     -2.00000     -10.0000      0.00000
      967.500      295.030   0.00838600     -2.00000     -10.0000      0.00000
      972.500      295.060   0.00837200     -2.00000     -10.0000      0.00000
      977.500      295.090   0.00835800     -2.00000     -10.0000      0.00000
      982.500      295.120   0.00834400     -2.00000     -10.0000      0.00000
      987.500      295.150   0.00833000     -2.00000     -10.0000      0.00000
      992.500      295.180   0.00831600     -2.00000     -10.0000      0.00000
      997.500      295.210   0.00830200     -2.00000     -10.0000      0.00000
      1002.50      295.240   0.00828800     -2.00000     -10.0000      0.00000
      1007.50      295.270   0.00827400     -2.00000     -10.0000      0.00000
      1012.50      295.300   0.00826000     -2.00000     -10.0000      0.00000
      1017.50      295.330   0.00824600     -2.00000     -10.0000      0.00000
      1022.50      295.360   0.00823200     -2.00000     -10.0000      0.00000
      1027.50      295.390   0.00821800     -2.00000     -10.0000      0.00000
      1032.50      295.420   0.00820400     -2.00000     -10.0000      0.00000
      1037.50      295.450   0.00819000     -2.00000     -10.0000      0.00000
      1042.50      295.480   0.00817600     -2.00000     -10.0000      0.00000
      1047.50      295.510   0.00816200     -2.00000     -10.0000      0.00000
      1052.50      295.540   0.00814800     -2.00000     -10.0000      0.00000
      1057.50      295.570   0.00813400     -2.00000     -10.0000      0.00000
