#ASTEX case using prescribed vertical grid, Nlev = 427 1 date=04/04/09
height(m)   thl(K)     qt(kg/kg)       u(m/s)     v(m/s)     tke(m2/s2)
      877.500      292.303      9.499E-06      -3.7259      -6.4338      0.0192
      882.500      292.356      9.506E-06      -3.7103      -6.4674      0.0180
      887.500      292.407      9.512E-06      -3.6948      -6.5003      0.0169
      892.500      292.457      9.518E-06      -3.6795      -6.5324      0.0158
      897.500      292.505      9.523E-06      -3.6645      -6.5639      0.0147
      902.500      292.553      9.527E-06      -3.6496      -6.5947      0.0136
      907.500      292.600      9.530E-06      -3.6350      -6.6248      0.0126
      912.500      292.645      9.533E-06      -3.6206      -6.6543      0.0116
      917.500      292.690      9.536E-06      -3.6065      -6.6831      0.0106
      922.500      292.733      9.537E-06      -3.5925      -6.7112      0.0097
      927.500      292.776      9.538E-06      -3.5788      -6.7387      0.0087
      932.500      292.817      9.538E-06      -3.5654      -6.7655      0.0078
      937.500      292.858      9.538E-06      -3.5522      -6.7917      0.0070
      942.500      292.897      9.537E-06      -3.5393      -6.8172      0.0062
      947.500      292.935      9.535E-06      -3.5267      -6.8422      0.0054
      952.500      292.973      9.533E-06      -3.5143      -6.8665      0.0046
      957.500      293.009      9.530E-06      -3.5022      -6.8902      0.0039
      962.500      293.045      9.527E-06      -3.4904      -6.9133      0.0032
      967.500      293.079      9.523E-06      -3.4788      -6.9358      0.0026
      972.500      293.113      9.518E-06      -3.4675      -6.9577      0.0020
      977.500      293.145      9.513E-06      -3.4565      -6.9791      0.0015
      982.500      293.177      9.507E-06      -3.4458      -6.9999      0.0010
      987.500      293.208      9.501E-06      -3.4354      -7.0201      0.0006
      992.500      293.238      9.494E-06      -3.4253      -7.0397      0.0003
      997.500      293.267      9.487E-06      -3.4155      -7.0588      0.0001
      1002.50      293.295      9.479E-06      -3.4059      -7.0773      0.0000
      1007.50      293.322      9.470E-06      -3.3967      -7.0954      0.0000
      1012.50      293.348      9.461E-06      -3.3877      -7.1128      0.0000
      1017.50      293.374      9.452E-06      -3.3791      -7.1298      0.0000
      1022.50      293.398      9.442E-06      -3.3707      -7.1462      0.0000
      1027.50      293.422      9.431E-06      -3.3626      -7.1621      0.0000
      1032.50      293.445      9.420E-06      -3.3548      -7.1776      0.0000
      1037.50      293.467      9.409E-06      -3.3473      -7.1925      0.0000
      1042.50      293.489      9.397E-06      -3.3401      -7.2069      0.0000
      1047.50      293.509      9.384E-06      -3.3332      -7.2208      0.0000
      1052.50      293.529      9.371E-06      -3.3266      -7.2343      0.0000
      1057.50      293.548      9.358E-06      -3.3203      -7.2473      0.0000
      1062.50      293.567      9.344E-06      -3.3142      -7.2598      0.0000
      1067.50      293.584      9.330E-06      -3.3084      -7.2719      0.0000
      1072.50      293.601      9.315E-06      -3.3029      -7.2835      0.0000
      1077.50      293.617      9.300E-06      -3.2977      -7.2946      0.0000
      1082.50      293.633      9.285E-06      -3.2928      -7.3054      0.0000
      1087.50      293.647      9.269E-06      -3.2881      -7.3157      0.0000
      1092.50      293.661      9.253E-06      -3.2837      -7.3255      0.0000
      1097.50      293.675      9.236E-06      -3.2795      -7.3350      0.0000
      1102.50      293.687      9.219E-06      -3.2757      -7.3440      0.0000
      1107.50      293.699      9.202E-06      -3.2721      -7.3526      0.0000
      1112.50      293.711      9.184E-06      -3.2687      -7.3608      0.0000
      1117.50      293.721      9.166E-06      -3.2656      -7.3686      0.0000
      1122.50      293.731      9.147E-06      -3.2627      -7.3761      0.0000
      1127.50      293.741      9.129E-06      -3.2601      -7.3831      0.0000
      1132.50      293.750      9.110E-06      -3.2577      -7.3898      0.0000
      1137.50      293.758      9.090E-06      -3.2556      -7.3961      0.0000
      1142.50      293.766      9.070E-06      -3.2537      -7.4020      0.0000
      1147.50      293.773      9.050E-06      -3.2520      -7.4075      0.0000
      1152.50      293.779      9.030E-06      -3.2506      -7.4128      0.0000
      1157.50      293.785      9.010E-06      -3.2493      -7.4176      0.0000
      1162.50      293.791      8.989E-06      -3.2483      -7.4221      0.0000
      1167.50      293.796      8.968E-06      -3.2475      -7.4263      0.0000
      1172.50      293.800      8.946E-06      -3.2469      -7.4302      0.0000
      1177.50      293.804      8.925E-06      -3.2465      -7.4337      0.0000
      1182.50      293.808      8.903E-06      -3.2463      -7.4369      0.0000
      1187.50      293.811      8.881E-06      -3.2462      -7.4398      0.0000
      1192.50      293.813      8.858E-06      -3.2464      -7.4423      0.0000
      1197.50      293.815      8.836E-06      -3.2467      -7.4446      0.0000
      1202.50      293.817      8.813E-06      -3.2472      -7.4466      0.0000
      1207.50      293.818      8.790E-06      -3.2479      -7.4483      0.0000
      1212.50      293.818      8.767E-06      -3.2488      -7.4497      0.0000
      1217.50      293.819      8.744E-06      -3.2498      -7.4508      0.0000
      1222.50      293.818      8.720E-06      -3.2509      -7.4517      0.0000
      1227.50      293.818      8.697E-06      -3.2522      -7.4523      0.0000
      1232.50      293.817      8.673E-06      -3.2536      -7.4526      0.0000
      1237.50      293.816      8.649E-06      -3.2552      -7.4527      0.0000
      1242.50      293.814      8.625E-06      -3.2569      -7.4525      0.0000
      1247.50      293.812      8.601E-06      -3.2588      -7.4520      0.0000
      1252.50      293.810      8.576E-06      -3.2607      -7.4514      0.0000
      1257.50      293.807      8.552E-06      -3.2628      -7.4505      0.0000
      1262.50      293.804      8.527E-06      -3.2649      -7.4493      0.0000
      1267.50      293.801      8.502E-06      -3.2672      -7.4480      0.0000
      1272.50      293.797      8.478E-06      -3.2696      -7.4464      0.0000
      1277.50      293.793      8.453E-06      -3.2720      -7.4447      0.0000
      1282.50      293.789      8.428E-06      -3.2745      -7.4427      0.0000
      1287.50      293.785      8.403E-06      -3.2771      -7.4405      0.0000
      1292.50      293.780      8.377E-06      -3.2798      -7.4381      0.0000
      1297.50      293.775      8.352E-06      -3.2826      -7.4356      0.0000
      1302.50      293.770      8.327E-06      -3.2854      -7.4328      0.0000
      1307.50      293.764      8.302E-06      -3.2883      -7.4299      0.0000
      1312.50      293.759      8.276E-06      -3.2912      -7.4269      0.0000
      1317.50      293.753      8.251E-06      -3.2941      -7.4236      0.0000
      1322.50      293.747      8.225E-06      -3.2971      -7.4202      0.0000
      1327.50      293.741      8.200E-06      -3.3002      -7.4167      0.0000
      1332.50      293.735      8.174E-06      -3.3032      -7.4130      0.0000
      1337.50      293.728      8.149E-06      -3.3063      -7.4091      0.0000
      1342.50      293.722      8.124E-06      -3.3094      -7.4051      0.0000
      1347.50      293.715      8.098E-06      -3.3125      -7.4010      0.0000
      1352.50      293.708      8.073E-06      -3.3155      -7.3968      0.0000
      1357.50      293.701      8.047E-06      -3.3186      -7.3925      0.0000
      1362.50      293.694      8.022E-06      -3.3217      -7.3880      0.0000
      1367.50      293.687      7.996E-06      -3.3248      -7.3835      0.0000
      1372.50      293.680      7.971E-06      -3.3278      -7.3788      0.0000
      1377.50      293.672      7.946E-06      -3.3309      -7.3741      0.0000
      1382.50      293.665      7.920E-06      -3.3338      -7.3692      0.0000
      1387.50      293.658      7.895E-06      -3.3368      -7.3643      0.0000
      1392.50      293.650      7.870E-06      -3.3397      -7.3593      0.0000
      1397.50      293.643      7.845E-06      -3.3426      -7.3543      0.0000
      1402.50      293.635      7.820E-06      -3.3454      -7.3491      0.0000
      1407.50      293.628      7.795E-06      -3.3481      -7.3440      0.0000
      1412.50      293.620      7.770E-06      -3.3508      -7.3387      0.0000
      1417.50      293.613      7.745E-06      -3.3534      -7.3335      0.0000
      1422.50      293.606      7.720E-06      -3.3560      -7.3281      0.0000
      1427.50      293.598      7.695E-06      -3.3584      -7.3228      0.0000
