#ASTEX case using prescribed vertical grid, Nlev = 427 1 date=04/04/09 00
height(m)   thl(K)     qt(kg/kg)       u(m/s)     v(m/s)     tke(m2/s2)     pres
      50.0000      279.880      6.425E-06      -4.2554      -1.5591      0.3286      1016.94
      100.000      279.861      6.251E-06      -4.0071      -1.1988      0.3030      1010.65
      150.000      280.061      6.173E-06      -3.8323      -1.0045      0.2781      1004.37
      200.000      280.456      6.177E-06      -3.7413      -0.9372      0.2539      998.126
      250.000      281.022      6.254E-06      -3.7304      -0.9738      0.2305      991.892
      300.000      281.734      6.394E-06      -3.7873      -1.1028      0.2078      985.681
      350.000      282.567      6.590E-06      -3.8942      -1.3199      0.1860      979.492
      400.000      283.496      6.835E-06      -4.0299      -1.6234      0.1649      973.327
      450.000      284.497      7.120E-06      -4.1708      -2.0107      0.1447      967.187
      500.000      285.543      7.438E-06      -4.2939      -2.4750      0.1255      961.073
      550.000      286.609      7.777E-06      -4.3785      -3.0036      0.1071      954.986
      600.000      287.671      8.126E-06      -4.4093      -3.5780      0.0898      948.928
      650.000      288.701      8.470E-06      -4.3787      -4.1741      0.0735      942.899
      700.000      289.673      8.793E-06      -4.2884      -4.7647      0.0583      936.900
      750.000      290.563      9.075E-06      -4.1501      -5.3216      0.0444      930.934
      800.000      291.342      9.299E-06      -3.9843      -5.8178      0.0317      925.000
      850.000      291.996      9.448E-06      -3.8149      -6.2361      0.0206      919.099
      900.000      292.529      9.525E-06      -3.6570      -6.5794      0.0112      913.233
      950.000      292.954      9.534E-06      -3.5204      -6.8544      0.0040      907.401
      1000.00      293.281      9.483E-06      -3.4107      -7.0681      0.0000      901.603
      1050.00      293.519      9.378E-06      -3.3299      -7.2276      0.0000      895.840
      1100.00      293.681      9.228E-06      -3.2776      -7.3395      0.0000      890.111
      1150.00      293.776      9.040E-06      -3.2513      -7.4102      0.0000      884.417
      1200.00      293.816      8.825E-06      -3.2470      -7.4456      0.0000      878.757
      1250.00      293.811      8.588E-06      -3.2597      -7.4517      0.0000      873.132
      1300.00      293.772      8.340E-06      -3.2840      -7.4342      0.0000      867.542
      1350.00      293.711      8.085E-06      -3.3140      -7.3989      0.0000      861.987
      1400.00      293.639      7.832E-06      -3.3440      -7.3517      0.0000      856.467
      1450.00      293.566      7.586E-06      -3.3683      -7.2985      0.0000      850.983
      1500.00      293.505      7.352E-06      -3.3816      -7.2453      0.0000      845.534
      1550.00      293.464      7.134E-06      -3.3802      -7.1968      0.0000      840.120
      1600.00      293.443      6.931E-06      -3.3641      -7.1537      0.0000      834.740
      1650.00      293.442      6.742E-06      -3.3345      -7.1157      0.0000      829.395
      1700.00      293.461      6.565E-06      -3.2923      -7.0826      0.0000      824.084
      1750.00      293.498      6.401E-06      -3.2382      -7.0542      0.0000      818.806
      1800.00      293.554      6.248E-06      -3.1732      -7.0300      0.0000      813.562
      1850.00      293.627      6.105E-06      -3.0981      -7.0097      0.0000      808.350
      1900.00      293.716      5.971E-06      -3.0136      -6.9929      0.0000      803.171
      1950.00      293.822      5.846E-06      -2.9207      -6.9793      0.0000      798.023
      2000.00      293.943      5.729E-06      -2.8199      -6.9683      0.0000      792.907
      2050.00      294.079      5.619E-06      -2.7120      -6.9598      0.0000      787.823
      2100.00      294.229      5.516E-06      -2.5978      -6.9531      0.0000      782.769
      2150.00      294.392      5.419E-06      -2.4779      -6.9482      0.0000      777.745
      2200.00      294.568      5.329E-06      -2.3529      -6.9446      0.0000      772.752
      2250.00      294.755      5.243E-06      -2.2236      -6.9420      0.0000      767.788
      2300.00      294.954      5.162E-06      -2.0906      -6.9403      0.0000      762.853
      2350.00      295.163      5.086E-06      -1.9545      -6.9392      0.0000      757.948
      2400.00      295.382      5.014E-06      -1.8160      -6.9386      0.0000      753.071
      2450.00      295.610      4.945E-06      -1.6755      -6.9385      0.0000      748.221
      2500.00      295.846      4.880E-06      -1.5337      -6.9387      0.0000      743.400
      2550.00      296.090      4.817E-06      -1.3910      -6.9392      0.0000      738.606
      2600.00      296.341      4.758E-06      -1.2482      -6.9401      0.0000      733.839
      2650.00      296.597      4.700E-06      -1.1056      -6.9416      0.0000      729.098
      2700.00      296.859      4.645E-06      -0.9637      -6.9436      0.0000      724.383
      2750.00      297.125      4.591E-06      -0.8231      -6.9465      0.0000      719.694
      2800.00      297.395      4.539E-06      -0.6841      -6.9504      0.0000      715.031
      2850.00      297.668      4.488E-06      -0.5472      -6.9556      0.0000      710.393
      2900.00      297.943      4.438E-06      -0.4129      -6.9625      0.0000      705.779
      2950.00      298.219      4.388E-06      -0.2815      -6.9712      0.0000      701.189
      3000.00      298.496      4.339E-06      -0.1535      -6.9824      0.0000      696.623
      3050.00      298.773      4.290E-06      -0.0292      -6.9962      0.0000      692.081
      3100.00      299.049      4.241E-06      0.0910      -7.0132      0.0000      687.562
      3150.00      299.323      4.193E-06      0.2072      -7.0336      0.0000      683.067
      3200.00      299.596      4.144E-06      0.3196      -7.0572      0.0000      678.595
      3250.00      299.868      4.095E-06      0.4285      -7.0843      0.0000      674.146
      3300.00      300.138      4.046E-06      0.5341      -7.1147      0.0000      669.721
      3350.00      300.407      3.996E-06      0.6367      -7.1485      0.0000      665.319
      3400.00      300.674      3.947E-06      0.7363      -7.1855      0.0000      660.939
      3450.00      300.940      3.898E-06      0.8331      -7.2259      0.0000      656.583
      3500.00      301.204      3.849E-06      0.9274      -7.2695      0.0000      652.249
      3550.00      301.465      3.799E-06      1.0191      -7.3163      0.0000      647.938
      3600.00      301.726      3.750E-06      1.1083      -7.3662      0.0000      643.649
      3650.00      301.984      3.700E-06      1.1953      -7.4191      0.0000      639.383
      3700.00      302.240      3.650E-06      1.2800      -7.4749      0.0000      635.140
      3750.00      302.494      3.601E-06      1.3625      -7.5337      0.0000      630.919
      3800.00      302.746      3.551E-06      1.4428      -7.5952      0.0000      626.720
      3850.00      302.996      3.501E-06      1.5210      -7.6593      0.0000      622.543
      3900.00      303.244      3.451E-06      1.5971      -7.7261      0.0000      618.388
      3950.00      303.489      3.401E-06      1.6711      -7.7953      0.0000      614.255
      4000.00      303.732      3.351E-06      1.7430      -7.8669      0.0000      610.144
      4050.00      303.973      3.301E-06      1.8128      -7.9407      0.0000      606.055
      4100.00      304.211      3.251E-06      1.8805      -8.0167      0.0000      601.987
      4150.00      304.446      3.201E-06      1.9461      -8.0947      0.0000      597.941
      4200.00      304.679      3.151E-06      2.0096      -8.1746      0.0000      593.916
